iter	RMSE
0	219.5174676
1	208.2026006
2	197.5899264
3	187.3802161
4	177.9057519
5	168.9005446
6	160.2468384
7	152.0552852
8	144.3204248
9	136.9815039
10	130.0854944
11	123.6410189
12	117.4572686
13	111.4638677
14	105.8019782
15	100.4454271
16	95.3324925
17	90.57716205
18	86.0156243
19	81.67528426
20	77.57873186
21	73.78869011
22	70.16216129
23	66.64686049
24	63.35318169
25	60.25365848
26	57.31619309
27	54.51294809
28	51.83603079
29	49.35001442
30	46.95724762
31	44.67338789
32	42.55191322
33	40.51940482
34	38.61307608
35	36.80148528
36	35.14443828
37	33.52196926
38	32.02082834
39	30.52751621
40	29.15752164
41	27.85685207
42	26.60965763
43	25.46527168
44	24.37882237
45	23.34528919
46	22.33994403
47	21.41311255
48	20.55256487
49	19.74109208
50	18.99332144
51	18.266232
52	17.60246752
53	16.97302111
54	16.35932603
55	15.77705697
56	15.26033962
57	14.77306596
58	14.32661081
59	13.90830175
60	13.50164793
61	13.14055198
62	12.78408209
63	12.46593197
64	12.17305759
65	11.89517757
66	11.63681559
67	11.39524737
68	11.17030401
69	10.97030773
70	10.7815969
71	10.61326403
72	10.42966987
73	10.28110708
74	10.14724001
75	10.0200703
76	9.874353719
77	9.755705218
78	9.635203546
79	9.540374723
80	9.438117459
81	9.350216757
82	9.261426195
83	9.179809819
84	9.112516053
85	9.035010937
86	8.972015755
87	8.918475839
88	8.841931714
89	8.784896818
90	8.732098274
91	8.683413317
92	8.624569835
93	8.577935524
94	8.526109245
95	8.473570416
96	8.435880425
97	8.398966987
98	8.354521717
99	8.301097519
100	8.259601721
101	8.226432133
102	8.188239053
103	8.147257848
104	8.108142445
105	8.074860729
106	8.037853535
107	8.011407297
108	7.980082606
109	7.951600175
110	7.911929759
111	7.879824801
112	7.84681013
113	7.829565164
114	7.809448039
115	7.796732023
116	7.770408752
117	7.751940242
118	7.714897002
119	7.674408026
120	7.619968488
121	7.587199816
122	7.575972045
123	7.554379552
124	7.528993438
125	7.499433939
126	7.47138886
127	7.45619349
128	7.42807767
129	7.408773484
130	7.388032324
131	7.36918223
132	7.353569526
133	7.339581207
134	7.318581434
135	7.267976616
136	7.249818718
137	7.224525652
138	7.206289001
139	7.188178832
140	7.177436543
141	7.151317511
142	7.135966957
143	7.085283191
144	7.076088422
145	7.051711979
146	7.025801289
147	6.97680829
148	6.936703073
149	6.888701314
150	6.879531531
151	6.856317096
152	6.845811387
153	6.796561634
154	6.763407351
155	6.729772579
156	6.719740823
157	6.700618371
158	6.681221883
159	6.670659517
160	6.643770232
161	6.608184896
162	6.581644721
163	6.559734458
164	6.538312021
165	6.530468805
166	6.512606997
167	6.498099503
168	6.494599986
169	6.480047178
170	6.467707542
171	6.425150495
172	6.412949198
173	6.389681492
174	6.353007642
175	6.319855401
176	6.304222465
177	6.289595465
178	6.272743565
179	6.268395814
180	6.256396596
181	6.233769518
182	6.214364357
183	6.20840822
184	6.171353999
185	6.144810842
186	6.129611549
187	6.115432229
188	6.097598839
189	6.092272566
190	6.079269978
191	6.06705935
192	6.058333109
193	6.039703225
194	5.998749277
195	5.977533941
196	5.960262001
197	5.955509295
198	5.941328714
199	5.937643667
200	5.929302144
201	5.9153672
202	5.87498246
203	5.860081471
204	5.844380791
205	5.831744254
206	5.826925513
207	5.812339501
208	5.803232992
209	5.786248859
210	5.743528224
211	5.731182033
212	5.716136104
213	5.712766668
214	5.680060728
215	5.677141178
216	5.67225867
217	5.659330655
218	5.633083551
219	5.630305252
