iter	Passed	Remaining
0	3	3509
1	6	3104
2	8	2893
3	11	2764
4	13	2587
5	15	2538
6	17	2492
7	19	2450
8	21	2409
9	23	2355
10	25	2316
11	27	2302
12	32	2446
13	34	2454
14	38	2557
15	41	2565
16	44	2571
17	47	2566
18	49	2561
19	52	2567
20	55	2568
21	57	2560
22	59	2528
23	61	2496
24	63	2470
25	65	2446
26	68	2458
27	70	2459
28	72	2443
29	74	2420
30	76	2399
31	78	2386
32	80	2370
33	82	2353
34	84	2340
35	86	2328
36	88	2312
37	90	2296
38	92	2282
39	94	2267
40	96	2253
41	98	2239
42	100	2229
43	102	2217
44	103	2204
45	105	2191
46	107	2181
47	109	2169
48	111	2159
49	113	2149
50	115	2140
51	117	2133
52	118	2123
53	120	2114
54	122	2106
55	124	2097
56	126	2088
57	128	2080
58	129	2072
59	131	2066
60	133	2059
61	135	2051
62	137	2044
63	139	2037
64	141	2030
65	143	2024
66	144	2018
67	146	2013
68	148	2008
69	150	2002
70	152	1995
71	154	1990
72	156	1984
73	158	1978
74	159	1973
75	161	1967
76	163	1962
77	165	1957
78	167	1953
79	169	1948
80	171	1942
81	173	1938
82	174	1933
83	176	1928
84	178	1923
85	180	1919
86	182	1916
87	184	1911
88	186	1906
89	188	1902
90	189	1897
91	191	1892
92	193	1888
93	195	1884
94	197	1881
95	199	1877
96	201	1872
97	203	1868
98	204	1864
99	206	1860
100	208	1856
101	210	1852
102	212	1849
103	214	1846
104	216	1847
105	219	1847
106	220	1843
107	222	1839
108	224	1835
109	226	1831
110	228	1829
111	231	1831
112	232	1827
113	234	1823
114	236	1819
115	238	1815
116	240	1811
117	241	1807
118	243	1803
119	245	1800
120	247	1796
121	249	1792
122	250	1788
123	252	1784
124	254	1781
125	256	1777
126	258	1773
127	259	1770
128	261	1766
129	263	1763
130	265	1760
131	267	1756
132	268	1752
133	270	1749
134	272	1746
135	274	1743
136	276	1741
137	278	1737
138	279	1734
139	281	1730
140	283	1727
141	285	1723
142	287	1720
143	288	1717
144	290	1714
145	292	1711
146	294	1708
147	296	1705
148	297	1701
149	299	1698
150	301	1695
151	303	1692
152	305	1690
153	307	1688
154	309	1685
155	311	1683
156	312	1679
157	314	1676
158	316	1673
159	318	1671
160	320	1668
161	322	1666
162	323	1663
163	325	1660
164	327	1659
165	329	1655
166	331	1652
